100,
622.2,173.39
1846.8,390.94
860.42,831.38
369.64,803.36
1809.8,60.471
1959.5,399.26
877.74,526.88
222.24,416.8
516.12,656.86
817.44,627.97
1189.8,291.98
524.42,431.65
1205.7,15.487
1422.4,984.06
443.5,167.17
234.84,106.22
593.36,372.41
637.56,198.12
848.34,489.69
1015.7,339.49
171.03,951.63
524.96,920.33
1602,52.677
58.44,737.86
1857.7,269.12
1460.7,422.84
977.22,547.87
1157.1,942.74
474.56,417.74
917.7,983.05
1926.2,301.45
1093.6,701.1
1042.3,666.34
463.18,539.13
977.8,698.11
1248.1,666.53
1358.3,178.13
791.04,128.01
734.88,999.08
1976,171.12
75.478,32.601
1770.3,561.2
1826.6,881.87
1592.4,669.18
197.42,190.43
523.74,368.92
670.72,460.73
1359.5,981.64
273.1,156.4
1442.5,855.52
213.52,644.76
1307.5,376.27
988.34,190.92
1558.1,428.25
1430.1,482.02
1807.4,120.61
1781.8,589.51
668.32,226.19
1397.5,384.62
395.62,582.99
61.082,251.81
1488.1,290.44
1000,617.09
959.84,265.28
1809.4,824.38
1219.7,982.66
1235.3,730.25
1718.9,343.88
1611,584.07
1153.4,107.77
365.84,906.31
479.86,879.65
1773,817.76
57.348,260.73
979.8,594.36
335.86,22.513
1957.4,425.26
1425.4,312.72
1000.9,161.48
942.18,178.77
119.24,422.89
1363.9,94.229
84.862,598.52
142.89,470.92
1043.3,695.95
193.46,699.89
1636.3,638.53
1635.1,33.604
1444.9,68.806
299.74,319.6
1319.2,530.86
1037.2,654.45
1945.9,407.62
1298,819.98
1600.7,718.36
907.6,968.65
864.78,531.33
1650.6,325.15
166.94,105.63
266.34,610.96
